Date, Close/Last, Volume, Open, High, Low
03/26/2020, $36.13, 6274433, $37.65, $40.53, $34.58
03/25/2020, $36.81, 9277025, $36.92, $40.72, $34.5
03/24/2020, $34.34, 7685516, $30.84, $35.259, $30.7959
03/23/2020, $27.51, 5999217, $26.36, $28, $23.4
03/20/2020, $26, 9510709, $27.68, $31.47, $26
03/19/2020, $26.25, 7231508, $24, $27.22, $21.49
03/18/2020, $23.99, 8524823, $26.5, $28.75, $22.48
03/17/2020, $29.28, 6855191, $28.07, $31.6499, $26
03/16/2020, $27.45, 8283621, $27.57, $31.92, $23.7
03/13/2020, $32.86, 7449668, $36.25, $37.3, $31.56
03/12/2020, $33.02, 9793535, $34.4, $37.3899, $33
03/11/2020, $41.73, 5511637, $44.12, $45.26, $39.648
03/10/2020, $45.59, 5291620, $47.16, $47.8218, $43.4721
03/09/2020, $43.38, 7804050, $45.77, $48.47, $42
03/06/2020, $53.05, 6601327, $55.34, $57.32, $51.44
03/05/2020, $56.69, 8225335, $52.54, $59, $51.77
03/04/2020, $53.47, 6578848, $52.31, $54, $51.51
03/03/2020, $52.37, 6930797, $52.41, $54.6399, $51.1
03/02/2020, $51.4, 7152566, $50.46, $52.52, $48.1538
02/28/2020, $48.97, 7396127, $45.61, $50.2199, $45.56
02/27/2020, $48.76, 9360209, $48.81, $51.25, $45.9901
02/26/2020, $51.87, 8131330, $49.27, $53.8, $48.79
02/25/2020, $50.9, 11328770, $57, $57.01, $50.11
02/24/2020, $55.26, 9342127, $54.59, $58.749, $54
02/21/2020, $59.09, 7630966, $57.8, $59.15, $56.74
02/20/2020, $58.74, 21837420, $56.47, $58.95, $54.14
02/19/2020, $57.22, 35435590, $47.51, $57.57, $47.3
02/18/2020, $40.17, 7445215, $40.38, $41.29, $39.75
02/14/2020, $41.09, 4912452, $41.15, $42.39, $40.98
02/13/2020, $41.34, 6964119, $40.05, $41.59, $39.12
02/12/2020, $41.5, 5716225, $40.05, $41.52, $39.77
02/11/2020, $39.66, 5554230, $39.26, $40.25, $38.695
02/10/2020, $38.61, 4552879, $37.87, $38.64, $37.8
02/07/2020, $38.05, 4404985, $38, $38.88, $37.69
02/06/2020, $38.39, 5825420, $37.1, $38.65, $36.4
02/05/2020, $36.91, 6721845, $37.68, $38.01, $35.3
02/04/2020, $36.9, 9833925, $33.8, $36.94, $33.23
02/03/2020, $32.92, 5513312, $31.69, $33.23, $31.5801
01/31/2020, $31.52, 5097919, $33.35, $33.43, $31.2501
01/30/2020, $33.49, 4293735, $31.99, $33.84, $31.6741
01/29/2020, $32.56, 4337728, $32.57, $33.08, $31.7036
01/28/2020, $32.24, 4240554, $30.61, $32.34, $30.0601
01/27/2020, $29.95, 6828805, $31.56, $31.64, $29.43
01/24/2020, $32.7, 5103223, $32.29, $33.28, $31.95
01/23/2020, $32.07, 2683898, $31.59, $32.4, $30.91
01/22/2020, $31.62, 3614189, $31.5, $32.3, $31.34
01/21/2020, $31.26, 3336670, $31.61, $31.69, $30.63
01/17/2020, $31.5, 3807305, $30.97, $31.85, $30.73
01/16/2020, $30.83, 3211536, $30.15, $30.9065, $30.13
01/15/2020, $30.16, 4242343, $29.98, $30.3701, $29.16
01/14/2020, $30.2, 6409332, $30.91, $30.94, $29.54
01/13/2020, $30.79, 12390590, $30.94, $31.89, $30.5341
01/10/2020, $30.67, 5651054, $31.56, $32, $30.37
01/09/2020, $31.59, 6544404, $31.62, $32.37, $30.96
01/08/2020, $31, 5446354, $29.68, $31.5, $29.44
01/07/2020, $29.99, 5388138, $29.82, $30.2, $28.66
01/06/2020, $29.66, 4629729, $29.05, $29.66, $27.83
01/03/2020, $29.29, 4812506, $28.79, $29.73, $28.38
01/02/2020, $29.34, 7775679, $26.37, $29.35, $26.04
12/31/2019, $26.13, 3590078, $25.16, $26.19, $24.75
12/30/2019, $25.37, 4309643, $26.71, $26.852, $25.23
12/27/2019, $26.755, 2810863, $27.35, $27.4899, $26.535
12/26/2019, $27.34, 3878891, $27.16, $27.585, $26.58
12/24/2019, $27.02, 1922554, $26.89, $27.17, $26.59
12/23/2019, $26.81, 4861863, $25.95, $27.03, $25.845
12/20/2019, $25.94, 4582653, $26.05, $26.43, $25.59
12/19/2019, $25.96, 5699086, $25.8, $26.63, $25.8
12/18/2019, $25.74, 4579351, $25.97, $26.5, $24.89
12/17/2019, $25.85, 4909448, $25.74, $26.13, $25.45
12/16/2019, $25.76, 6118179, $25, $25.95, $24.53
12/13/2019, $24.62, 6524101, $23.9, $25.5, $23.9
12/12/2019, $23.68, 6146685, $24.3, $25.29, $23.65
12/11/2019, $24.21, 4649336, $24.12, $24.77, $23.9306
12/10/2019, $24.02, 5230967, $23.98, $24.31, $23.27
12/09/2019, $24.04, 3925020, $24.15, $24.56, $23.67
12/06/2019, $24.11, 3876781, $23.46, $24.17, $23.02
12/05/2019, $23.37, 5531073, $24.31, $24.58, $22.82
12/04/2019, $24.27, 5586141, $23.93, $24.7147, $23.29
12/03/2019, $23.74, 9658156, $22.56, $24.1381, $22.33
12/02/2019, $22.07, 4400095, $21.87, $22.34, $21.08
11/29/2019, $21.87, 4225870, $23.04, $23.38, $21.37
11/27/2019, $23.04, 6323333, $21.45, $23.09, $21.31
11/26/2019, $21.51, 4130185, $21.17, $21.82, $20.77
11/25/2019, $21.15, 8308066, $19.31, $21.21, $19.25
11/22/2019, $19.37, 5048677, $18.96, $19.5, $18.28
11/21/2019, $18.82, 5535368, $18.25, $18.83, $17.6
11/20/2019, $18.12, 5387107, $19.05, $19.5756, $18.025
11/19/2019, $19.19, 4722798, $18.75, $19.365, $18.2156
11/18/2019, $18.61, 6074944, $19.97, $20, $18.47
11/15/2019, $19.32, 3795433, $18.63, $19.68, $18.35
11/14/2019, $18.99, 2777130, $18.88, $19.04, $18.0784
11/13/2019, $18.925, 3539663, $19.01, $19.1, $18.2447
11/12/2019, $19.12, 3486714, $18.87, $19.57, $18.81
11/11/2019, $18.74, 3848576, $18.4, $19.255, $18.27
11/08/2019, $18.44, 2754789, $17.96, $18.49, $17.87
11/07/2019, $18, 3702636, $18.32, $18.7748, $17.71
11/06/2019, $18.2, 4769653, $18.54, $19.18, $17.87
11/05/2019, $18.59, 5515939, $17.55, $18.75, $17.3
11/04/2019, $17.955, 11757230, $18.92, $19.13, $17.18
11/01/2019, $18.83, 6991077, $19.43, $19.53, $18.59
10/31/2019, $19.43, 9056036, $19.45, $19.95, $18.68
10/30/2019, $18.76, 27217210, $21.685, $22, $18.59
10/29/2019, $25.19, 13241140, $25.59, $27.61, $24.1907
10/28/2019, $25.44, 5684097, $24.51, $26, $24.06
10/25/2019, $24.55, 7283476, $23.21, $24.725, $21.84
10/24/2019, $23.21, 4830289, $23.6, $23.95, $22.59
10/23/2019, $23.4, 4398866, $23.56, $24.9022, $23.3
10/22/2019, $23.71, 6632918, $26.05, $26.19, $23.115
10/21/2019, $25.89, 3249898, $24.9, $26.3, $24.6848
10/18/2019, $24.75, 3123994, $25, $25.8899, $24.42
10/17/2019, $25.1, 2590418, $24.29, $25.26, $23.75
10/16/2019, $24.165, 2168028, $23.91, $24.345, $23.16
10/15/2019, $24.14, 3194004, $24.65, $25.0697, $23.3
10/14/2019, $24.75, 2108891, $24.36, $25, $24.14
10/11/2019, $24.28, 3228429, $24.71, $25.26, $23.88
10/10/2019, $24.53, 3935659, $24.17, $25.46, $24
10/09/2019, $24.22, 3463713, $24.39, $24.6, $23.12
10/08/2019, $24.245, 3106246, $23.65, $24.44, $23.3
10/07/2019, $23.75, 3961472, $23.67, $24.1705, $22.78
