Date, Close/Last, Volume, Open, High, Low
03/26/2020, $12.38, 2514528, $12.27, $12.94, $11.78
03/25/2020, $12.16, 4866493, $11.9, $13.5699, $10.8
03/24/2020, $11.16, 3398852, $9.77, $11.37, $9.63
03/23/2020, $9.02, 3185164, $8.43, $9.25, $7.8351
03/20/2020, $8.36, 3934537, $9.34, $10.025, $8.22
03/19/2020, $9.11, 3778507, $8.8, $9.56, $8.5
03/18/2020, $8.9, 4295769, $9.03, $9.32, $8.035
03/17/2020, $9.92, 5752654, $9.87, $10.03, $7.835
03/16/2020, $9.49, 5122826, $9.84, $10.72, $8.355
03/13/2020, $11.2, 4773273, $12.94, $13.38, $10.25
03/12/2020, $11.68, 5513049, $13.71, $13.75, $11.615
03/11/2020, $15.05, 4272847, $16.13, $16.31, $14.21
03/10/2020, $16.72, 3061096, $17.81, $17.81, $15.95
03/09/2020, $16.79, 3431226, $17.75, $18.62, $16.38
03/06/2020, $20.22, 2200921, $20.68, $21.03, $19.69
03/05/2020, $21.3, 2723978, $20.32, $21.63, $20.1077
03/04/2020, $20.8, 1862105, $19.93, $20.89, $19.81
03/03/2020, $19.515, 2919935, $19.65, $20.51, $19.21
03/02/2020, $19.36, 3354316, $19.46, $19.56, $18.34
02/28/2020, $19.34, 4840199, $17.24, $19.54, $16.25
02/27/2020, $20.27, 3946474, $20.17, $21.06, $19.15
02/26/2020, $20.91, 3163331, $21.09, $21.62, $20.275
02/25/2020, $20.8, 3447909, $22.76, $22.87, $20.71
02/24/2020, $22.13, 3116130, $20.75, $22.32, $19.25
02/21/2020, $21.95, 4804829, $22.25, $22.62, $21.51
02/20/2020, $23.4, 4192036, $23, $23.66, $22.6306
02/19/2020, $22.48, 4271547, $21.42, $22.71, $21.06
02/18/2020, $21.77, 4907461, $21.36, $22.38, $21.34
02/14/2020, $21.42, 2084233, $21.21, $21.565, $20.91
02/13/2020, $21.3, 2442051, $20.99, $21.5, $20.73
02/12/2020, $21.3, 3770594, $20.41, $21.5, $20.25
02/11/2020, $20.13, 3072695, $20, $20.62, $19.72
02/10/2020, $19.96, 2357187, $18.89, $20, $18.89
02/07/2020, $18.95, 1206058, $19, $19.11, $18.82
02/06/2020, $19.13, 2274271, $19.11, $19.435, $18.85
02/05/2020, $18.99, 3191041, $18.5, $19.03, $18.36
02/04/2020, $18.25, 3024135, $17.86, $18.32, $17.68
02/03/2020, $17.54, 18257750, $17.06, $17.69, $16.95
01/31/2020, $17.03, 3539766, $17.24, $17.46, $16.88
01/30/2020, $17.48, 7953254, $17.9, $17.93, $17.33
01/29/2020, $16.95, 880653, $17.08, $17.1, $16.81
01/28/2020, $16.96, 942331, $16.48, $16.98, $16.305
01/27/2020, $16.33, 1033750, $16.4, $16.64, $16.2
01/24/2020, $16.79, 1284965, $17.07, $17.07, $16.61
01/23/2020, $16.955, 1259243, $16.67, $17.07, $16.385
01/22/2020, $16.85, 1640234, $17.51, $17.54, $16.76
01/21/2020, $17.37, 2041308, $17.21, $17.52, $16.83
01/17/2020, $17.18, 3455532, $16.83, $17.47, $16.76
01/16/2020, $16.6, 3162617, $15.71, $16.625, $15.65
01/15/2020, $15.19, 1167460, $15.19, $15.3174, $15.05
01/14/2020, $15.27, 1750751, $15.1, $15.55, $15.0593
01/13/2020, $15.24, 1512022, $14.9, $15.27, $14.76
01/10/2020, $14.91, 1007677, $15.15, $15.1786, $14.8
01/09/2020, $15, 1530135, $14.71, $15.19, $14.58
01/08/2020, $14.64, 1889777, $14.67, $14.78, $14.46
01/07/2020, $14.7, 966452, $14.37, $14.71, $14.27
01/06/2020, $14.38, 1456925, $14.24, $14.42, $13.66
01/03/2020, $14.37, 1080473, $14, $14.515, $13.77
01/02/2020, $14.185, 1144666, $13.99, $14.19, $13.77
12/31/2019, $13.81, 1169325, $13.73, $13.89, $13.59
12/30/2019, $13.74, 1541293, $14.16, $14.385, $13.69
12/27/2019, $14.16, 841095, $14.53, $14.62, $14.085
12/26/2019, $14.55, 639179, $14.66, $14.71, $14.4
12/24/2019, $14.59, 584997, $14.45, $14.665, $14.41
12/23/2019, $14.4, 1327627, $14.5, $14.52, $14.18
12/20/2019, $14.37, 2274134, $14.84, $14.905, $14.255
12/19/2019, $14.79, 1869720, $14.55, $14.87, $14.46
12/18/2019, $14.67, 1789198, $14.36, $14.715, $14.26
12/17/2019, $14.29, 2163924, $14.35, $14.63, $14.1873
12/16/2019, $14.26, 2687465, $13.96, $14.79, $13.94
12/13/2019, $13.94, 2092536, $14.03, $14.34, $13.8
12/12/2019, $14.17, 2405604, $13.22, $14.19, $13.2
12/11/2019, $13.19, 1149762, $13.28, $13.57, $13.155
12/10/2019, $13.26, 1603715, $13.33, $13.39, $13.12
12/09/2019, $13.31, 1395409, $13.52, $13.74, $13.26
12/06/2019, $13.62, 1552756, $13.32, $13.625, $13.26
12/05/2019, $13.21, 1194981, $13.43, $13.58, $13.2
12/04/2019, $13.35, 1088355, $13.67, $13.81, $13.32
12/03/2019, $13.51, 1269453, $13.4, $13.551, $13.1
12/02/2019, $13.55, 938343, $13.88, $13.955, $13.5
11/29/2019, $13.88, 717335, $13.81, $14.09, $13.8
11/27/2019, $13.99, 1280772, $14, $14.25, $13.91
11/26/2019, $13.79, 1024631, $13.74, $13.895, $13.6413
11/25/2019, $13.75, 1276331, $13.5, $13.87, $13.47
11/22/2019, $13.49, 1097805, $13.47, $13.63, $13.41
