Date, Close/Last, Volume, Open, High, Low
03/26/2020, $90.45, 984487, $91.33, $95, $87.19
03/25/2020, $89.9, 2198094, $87.88, $94.5, $82
03/24/2020, $85.31, 1853058, $76.675, $86.29, $76.675
03/23/2020, $69.48, 1492550, $71.22, $73.54, $67.02
03/20/2020, $69.61, 1971350, $81.89, $83.6, $69.53
03/19/2020, $76.81, 1965540, $75.58, $81.99, $68.26
03/18/2020, $76.73, 1513890, $79.48, $82.46, $69.72
03/17/2020, $84.71, 1814488, $82.02, $88, $76.08
03/16/2020, $81.19, 1571527, $79.48, $85.59, $73.44
03/13/2020, $91.11, 2088153, $99.75, $102, $88.01
03/12/2020, $90.72, 1919934, $90.84, $97.12, $83.33
03/11/2020, $106.11, 2128155, $113.39, $115.78, $100.12
03/10/2020, $116.92, 1112579, $118.12, $118.53, $111.0029
03/09/2020, $111.66, 1822345, $116.92, $119.5281, $109.46
03/06/2020, $133.34, 1432439, $131.43, $135.85, $127.71
03/05/2020, $137.54, 1147281, $131.19, $138.82, $129.37
03/04/2020, $135.71, 880118, $132.91, $135.95, $130.005
03/03/2020, $128.66, 1630937, $134.42, $134.5179, $126.26
03/02/2020, $128.7, 1467225, $128.06, $129, $121.45
02/28/2020, $124.72, 2428096, $118.26, $126.2, $116.8
02/27/2020, $125.95, 3111059, $126.78, $128.5, $116.5
02/26/2020, $132.41, 2046621, $129.75, $134.4899, $128.5
02/25/2020, $133, 1790963, $136.57, $137.99, $132.09
02/24/2020, $135.63, 2143823, $131.43, $138.87, $129.46
02/21/2020, $142.07, 2459689, $140.27, $142.495, $135.05
02/20/2020, $142.2, 6533752, $138.25, $143.73, $128.12
02/19/2020, $127.82, 4884755, $114.96, $128.8, $114.265
02/18/2020, $108.38, 1160213, $111.46, $111.5, $106.56
02/14/2020, $111.21, 845732, $112.26, $113.02, $110.24
02/13/2020, $111.16, 1197798, $109.63, $113.2, $108.69
02/12/2020, $111.86, 912351, $107.96, $112.27, $107.415
02/11/2020, $106.03, 1034772, $102.9, $107.32, $102.71
02/10/2020, $102.6, 847098, $100.62, $103.6, $100
