Date, Close/Last, Volume, Open, High, Low
03/26/2020, $6.38, 5374687, $6.75, $6.86, $6.24
03/25/2020, $6.67, 6927249, $6.89, $7.37, $6.42
03/24/2020, $6.78, 5123414, $6.59, $6.915, $6.39
03/23/2020, $6.16, 5324365, $5.89, $6.26, $5.51
03/20/2020, $5.81, 8264101, $5.86, $6.135, $5.32
03/19/2020, $5.56, 4701575, $4.91, $5.99, $4.77
03/18/2020, $4.92, 5860623, $4.89, $5.53, $4.63
03/17/2020, $5.36, 6116707, $4.56, $5.65, $4.25
03/16/2020, $4.49, 4802502, $4.49, $4.79, $4.03
03/13/2020, $5.06, 5395700, $5.53, $5.61, $4.89
03/12/2020, $5.06, 8117038, $5.56, $5.59, $4.85
03/11/2020, $6.22, 5543900, $6.62, $6.82, $6.15
03/10/2020, $6.87, 5061163, $7.33, $7.3754, $6.385
03/09/2020, $6.88, 5766246, $7.81, $7.95, $6.85
03/06/2020, $8.55, 4471826, $9.03, $9.26, $8.41
03/05/2020, $9.35, 4334243, $8.99, $9.41, $8.895
03/04/2020, $9.23, 3614560, $9.06, $9.24, $8.8201
03/03/2020, $8.91, 5109409, $8.91, $9.225, $8.71
03/02/2020, $8.72, 4138950, $8.7, $8.74, $8.18
02/28/2020, $8.57, 6353543, $8.05, $8.64, $7.81
02/27/2020, $8.36, 5310043, $8.53, $8.76, $8.12
02/26/2020, $8.88, 4736950, $9.45, $9.75, $8.78
02/25/2020, $9.51, 4625929, $9.97, $10.1, $9.33
02/24/2020, $9.94, 4910070, $9.44, $10.135, $9.23
02/21/2020, $10.2, 4857248, $10.42, $10.42, $9.9146
02/20/2020, $10.69, 7508568, $10.38, $10.83, $10.04
02/19/2020, $10.42, 11856900, $9.58, $10.77, $9.53
02/18/2020, $9.21, 8685817, $8.28, $9.24, $8.16
02/14/2020, $8.34, 8831066, $8.95, $8.98, $8.26
02/13/2020, $8.82, 13996950, $9.74, $9.75, $8.75
02/12/2020, $10.94, 9638460, $10.21, $11.175, $10.1
02/11/2020, $9.89, 3661577, $9.59, $9.97, $9.59
02/10/2020, $9.5, 3168901, $9.62, $9.769, $9.21
02/07/2020, $9.52, 4505345, $9.81, $10.09, $9.39
02/06/2020, $9.79, 3334320, $9.76, $9.9, $9.5
02/05/2020, $9.53, 3540343, $9.47, $9.8901, $9.315
02/04/2020, $9.28, 3332637, $8.93, $9.42, $8.8887
02/03/2020, $8.78, 2059754, $8.56, $8.82, $8.55
01/31/2020, $8.52, 2261379, $8.67, $8.73, $8.47
01/30/2020, $8.73, 2568309, $8.6, $8.98, $8.53
01/29/2020, $8.66, 2132998, $8.7, $8.9, $8.6
01/28/2020, $8.66, 1537300, $8.47, $8.72, $8.44
01/27/2020, $8.39, 2414618, $8.5, $8.51, $8.2
01/24/2020, $8.78, 2877762, $9.1, $9.18, $8.65
01/23/2020, $9.06, 3561608, $8.84, $9.25, $8.625
01/22/2020, $8.72, 2107489, $8.82, $8.97, $8.64
01/21/2020, $8.77, 2756706, $8.82, $8.9, $8.545
01/17/2020, $8.77, 2525229, $8.87, $8.97, $8.69
