Date, Close/Last, Volume, Open, High, Low
03/26/2020, $4.98, 3406873, $5, $5.77, $4.86
03/25/2020, $5.07, 4102505, $5.23, $5.44, $4.59
03/24/2020, $4.75, 2546518, $4.62, $5, $4.55
03/23/2020, $4.2, 2536767, $4.05, $4.35, $3.6
03/20/2020, $4.02, 4067700, $4.07, $4.69, $3.95
03/19/2020, $3.7, 3102712, $3.54, $3.79, $3.38
03/18/2020, $3.29, 3354920, $4.15, $4.33, $3.17
03/17/2020, $4.31, 5268583, $5.42, $5.44, $3.93
03/16/2020, $5.25, 2820886, $5.45, $5.5, $4.86
03/13/2020, $6.2, 3007174, $7.1, $7.2, $5.65
03/12/2020, $6.72, 3633591, $7.54, $7.6, $6.1
03/11/2020, $8.25, 4350954, $8.08, $8.8, $8
03/10/2020, $9.59, 2024502, $10.34, $10.34, $9.28
03/09/2020, $9.41, 1911891, $9.66, $10.19, $9.19
03/06/2020, $10.78, 1990593, $11.14, $11.3647, $10.5
03/05/2020, $11.73, 1478135, $11.5, $12.02, $11.49
03/04/2020, $11.91, 1539854, $12.07, $12.15, $11.61
03/03/2020, $11.69, 2886017, $11.48, $12.2699, $11.25
03/02/2020, $11.19, 3188036, $11.44, $11.49, $10.49
02/28/2020, $11.24, 2526386, $9.89, $11.28, $9.89
02/27/2020, $11.08, 3563184, $11.44, $11.5902, $10.87
02/26/2020, $11.91, 3798572, $11.54, $12.3, $11.13
02/25/2020, $11.59, 2004507, $12.1, $12.4583, $11.46
02/24/2020, $11.76, 2476290, $10.57, $11.95, $10.2
02/21/2020, $11.44, 3125854, $12.37, $12.38, $11.31
02/20/2020, $12.85, 4279615, $12.14, $12.9899, $11.91
02/19/2020, $11.8, 2290068, $11.23, $11.81, $11.16
02/18/2020, $11.04, 1319176, $10.91, $11.24, $10.83
02/14/2020, $10.91, 1262321, $11.03, $11.27, $10.84
02/13/2020, $11, 1537867, $10.73, $11.005, $10.5
02/12/2020, $10.92, 2801305, $10.13, $10.95, $10
02/11/2020, $10.05, 3390196, $9.56, $10.39, $9.56
02/10/2020, $9.49, 1188586, $9.15, $9.5, $9.06
02/07/2020, $9.16, 1373011, $9.26, $9.435, $9.12
02/06/2020, $9.27, 2374542, $8.91, $9.4399, $8.74
02/05/2020, $8.8, 2159267, $8.25, $8.8, $8.17
02/04/2020, $8.12, 2152431, $8.1, $8.28, $8.02
02/03/2020, $7.97, 1658067, $8.2, $8.22, $7.93
01/31/2020, $8.16, 1818113, $8.86, $8.88, $8.08
01/30/2020, $8.89, 940044, $8.76, $9, $8.76
01/29/2020, $8.73, 840360, $8.6, $8.74, $8.51
01/28/2020, $8.48, 611311, $8.44, $8.52, $8.27
01/27/2020, $8.38, 974239, $8.44, $8.51, $8.21
01/24/2020, $8.67, 739296, $8.96, $8.99, $8.61
01/23/2020, $8.91, 909125, $8.94, $9, $8.82
01/22/2020, $8.88, 836593, $8.93, $8.98, $8.8
01/21/2020, $8.87, 1070975, $8.94, $8.99, $8.6311
01/17/2020, $8.85, 1574115, $8.66, $9.02, $8.66
01/16/2020, $8.6, 852774, $8.45, $8.62, $8.39
01/15/2020, $8.33, 827059, $8.29, $8.35, $8.15
01/14/2020, $8.25, 812968, $8.23, $8.3, $8.08
01/13/2020, $8.2, 1153737, $8.03, $8.245, $7.92
01/10/2020, $7.96, 795933, $8.19, $8.22, $7.91
01/09/2020, $8.15, 1084426, $8, $8.345, $7.96
01/08/2020, $7.93, 908813, $7.77, $8.01, $7.76
01/07/2020, $7.76, 795699, $7.66, $7.815, $7.57
01/06/2020, $7.7, 1064516, $7.77, $7.93, $7.48
01/03/2020, $7.79, 1507758, $7.56, $8, $7.39
01/02/2020, $7.57, 1192971, $7.35, $7.68, $7.3247
12/31/2019, $7.26, 907184, $7.36, $7.45, $7.16
12/30/2019, $7.37, 950392, $7.75, $7.78, $7.37
12/27/2019, $7.76, 426362, $7.85, $7.87, $7.745
12/26/2019, $7.87, 583162, $7.71, $7.935, $7.71
12/24/2019, $7.64, 461333, $7.54, $7.7, $7.47
12/23/2019, $7.58, 607863, $7.74, $7.8, $7.55
12/20/2019, $7.7, 1112994, $7.95, $7.99, $7.62
12/19/2019, $7.87, 733521, $7.71, $8, $7.68
12/18/2019, $7.72, 558825, $7.77, $7.82, $7.68
12/17/2019, $7.74, 742319, $7.79, $7.85, $7.63
12/16/2019, $7.8, 950325, $7.77, $8, $7.66
12/13/2019, $7.7, 1209764, $7.74, $7.96, $7.58
12/12/2019, $7.75, 2328181, $7.12, $7.79, $7.08
12/11/2019, $7.1, 875883, $6.9, $7.11, $6.7117
12/10/2019, $6.85, 1290110, $7.14, $7.15, $6.76
12/09/2019, $7.19, 460160, $7.38, $7.45, $7.18
12/06/2019, $7.34, 650055, $7.26, $7.39, $7.14
12/05/2019, $7.29, 771181, $7.31, $7.5099, $7.28
12/04/2019, $7.31, 720364, $7.22, $7.38, $7.11
12/03/2019, $7.19, 503856, $7.14, $7.22, $6.96
12/02/2019, $7.23, 526640, $7.39, $7.41, $7.175
11/29/2019, $7.35, 234400, $7.4, $7.45, $7.31
11/27/2019, $7.44, 498323, $7.3, $7.46, $7.14
11/26/2019, $7.28, 1069581, $7.29, $7.56, $7.21
11/25/2019, $7.27, 1190470, $7.01, $7.3957, $6.9
11/22/2019, $6.97, 1089178, $6.5, $7, $6.46
11/21/2019, $6.47, 526913, $6.45, $6.475, $6.32
11/20/2019, $6.39, 1060707, $6.5, $6.52, $6.25
11/19/2019, $6.52, 986362, $6.69, $6.74, $6.465
11/18/2019, $6.7, 731033, $6.83, $6.85, $6.6
11/15/2019, $6.8, 772845, $6.7, $6.8, $6.6301
11/14/2019, $6.67, 772835, $6.58, $6.7, $6.47
11/13/2019, $6.59, 1227833, $6.9, $6.9204, $6.545
11/12/2019, $6.91, 489113, $6.94, $7.035, $6.85
11/11/2019, $6.91, 836491, $7.15, $7.26, $6.85
11/08/2019, $7.16, 911309, $7.09, $7.26, $6.91
11/07/2019, $7.09, 2275130, $6.72, $7.41, $6.705
11/06/2019, $6.64, 1141195, $6.78, $6.8908, $6.51
11/05/2019, $6.77, 932255, $6.71, $6.85, $6.51
11/04/2019, $6.66, 896052, $7.05, $7.1, $6.66
11/01/2019, $7.04, 523437, $7.03, $7.1, $6.93
10/31/2019, $7.01, 768110, $6.94, $7.17, $6.86
10/30/2019, $6.97, 711456, $6.9, $6.99, $6.74
10/29/2019, $6.99, 806693, $6.8, $7.105, $6.71
10/28/2019, $6.82, 767382, $6.77, $6.985, $6.74
10/25/2019, $6.65, 817331, $6.53, $6.72, $6.4
10/24/2019, $6.54, 819025, $6.39, $6.54, $6.32
10/23/2019, $6.38, 1425228, $6.42, $6.5581, $6.195
10/22/2019, $6.4, 1157081, $6.92, $6.98, $6.38
10/21/2019, $6.94, 998487, $7.11, $7.245, $6.92
10/18/2019, $7.01, 940579, $6.7, $7.07, $6.67
10/17/2019, $6.73, 533651, $6.65, $6.805, $6.65
